name,identity,alignment,appearanceCount,yearOfAppearance
Rank,Secret Identity,Neutral,1,1999
Rilker,Secret Identity,Bad,1,1999
Sally (Daily Bugle),Public Identity,,1,1999
Sam,Public Identity,,1,1999
Sanford Chesney,Public Identity,Good,1,1999
Sid Franken,Public Identity,Good,1,1999
Slototh,,Bad,1,1999
Starko Schumzianaqo,Secret Identity,Bad,1,1999
Ted Chin,No Dual Identity,,1,1999
Tom\u00e1s Ram\u00edrez (Earth-98121),,Bad,1,1999
Tserron,,Bad,1,1999
Ultimator,Secret Identity,Bad,1,1999
Ulysses Sojourner,,Bad,1,1999
V-2,Secret Identity,,1,1999
V-3,Secret Identity,,1,1999
V-4,Secret Identity,,1,1999
V-5,Secret Identity,,1,1999
V-6,Secret Identity,Good,1,1999
V-7,Secret Identity,,1,1999
V-8,Secret Identity,,1,1999
Veeg,Secret Identity,,1,1999
Veritus,Public Identity,,1,1999
Weller,Secret Identity,Neutral,1,1999
Wynter,Secret Identity,Bad,1,1999
X.E.R.O.,Secret Identity,Bad,1,1999
Abigail Baxter,,,1,2000
Abigail Harkness,,Neutral,1,2000
Agent Colby,Public Identity,Good,1,2000
Aiomumkondi,,,1,2000
Alberik,No Dual Identity,Neutral,1,2000
Ananastasia Rinaldi,,,1,2000
Aurelle,Secret Identity,Good,1,2000
Axis,Secret Identity,Bad,1,2000
Barney (Dinosaur),Secret Identity,Bad,1,2000
Bartos,No Dual Identity,Neutral,1,2000
Basaltar,No Dual Identity,Neutral,1,2000
Beckham,,Bad,1,2000
Big Casino,Secret Identity,Bad,1,2000
Blue Skye (Heroes Reborn),,,1,2000
Brutus (Inner Guard),,,1,2000
Cargo,Secret Identity,Neutral,1,2000
Carver (Morlock),,,1,2000
Ceyote,Secret Identity,Good,1,2000
Claymore,Secret Identity,Good,1,2000
Clete Billups,,Bad,1,2000
Commander Clinton,Public Identity,,1,2000
Crimson Commando (Brotherhood of Mutants),Secret Identity,Bad,1,2000
Desolation,Secret Identity,Bad,1,2000
Diana Knight,Public Identity,Neutral,1,2000
Dibdeb,Public Identity,Neutral,1,2000
Dirge (Lost Souls),Secret Identity,Bad,1,2000
Doctor Mime,Secret Identity,,1,2000
Elizabeth Shaw,Public Identity,,1,2000
Ernest Sanger (Heroes Reborn),,Good,1,2000
Esphares,Secret Identity,Good,1,2000
Ezekeel,Secret Identity,Good,1,2000
Farahd,Secret Identity,Bad,1,2000
Fawkes (Inner Guard),,,1,2000
Fayrelyte Strongheart,Public Identity,Neutral,1,2000
Frisco Pike,Public Identity,Good,1,2000
Fugue (Morlock),Secret Identity,Neutral,1,2000
Galadriel,Secret Identity,Bad,1,2000
General Darlegung (Heroes Reborn),Public Identity,Good,1,2000
Gethrin,Secret Identity,Bad,1,2000
Giraboor,Public Identity,Good,1,2000
Glass,,Bad,1,2000
Guardian of the Millennium Monarch,Public Identity,Good,1,2000
Guinness (Heroes Reborn),,Good,1,2000
Hafaza,Secret Identity,Good,1,2000
Hardwire (Robot),,,1,2000
Hiram Shaw,Public Identity,Good,1,2000
Ivan Kivelki,Secret Identity,Bad,1,2000
James Howlett (Heroes Reborn),Secret Identity,Good,1,2000
Jaunt,,Bad,1,2000
Javelin (SHE),Secret Identity,Good,1,2000
Kevin (mutant),Public Identity,Good,1,2000
Kilmer,Secret Identity,,1,2000
Kreddik,Public Identity,Neutral,1,2000
Kronaster Sintariis,Public Identity,Bad,1,2000
Kusek,No Dual Identity,Neutral,1,2000
Lament,Secret Identity,Bad,1,2000
Lau,,Bad,1,2000
Liu Wo-Han,Public Identity,Neutral,1,2000
Magma (Sven),Secret Identity,Good,1,2000
Manat,Public Identity,Neutral,1,2000
Mary Rina (Heroes Reborn),,Good,1,2000
Master Monarch,Secret Identity,Neutral,1,2000
Michka Rose (Heroes Reborn),,Good,1,2000
Millennium Monarch,Secret Identity,Good,1,2000
Morph (First Line),Secret Identity,Good,1,2000
Mr. Greepy,Public Identity,Bad,1,2000
Mrs. Shaw,,,1,2000
Nelet Pa,Public Identity,Neutral,1,2000
Nighteyes (Eric),Secret Identity,Bad,1,2000
Obadiah Shaw,Public Identity,Good,1,2000
Otis Matthews,Secret Identity,Neutral,1,2000
Parson (Heroes Reborn),,Bad,1,2000
Patrick Clemens,,,1,2000
Positron (Veronica),Secret Identity,,1,2000
Psykos,Secret Identity,Good,1,2000
Quisling (Inner Guard),,,1,2000
Reaper (Demon),Secret Identity,Bad,1,2000
Rebound,Secret Identity,Good,1,2000
Reflex (First Line),Secret Identity,Good,1,2000
Requiem,Secret Identity,Bad,1,2000
Riot-Act,Secret Identity,Good,1,2000
Rochelle LeBeau,Secret Identity,Neutral,1,2000
Rumor,Public Identity,Bad,1,2000
Sabre (Mutant),Secret Identity,,1,2000
Sarah Shaw,No Dual Identity,Good,1,2000
Sariel,Secret Identity,Good,1,2000
Semijan,,,1,2000
Seth (Neo),,Bad,1,2000
Shamrock (SHE),Secret Identity,Good,1,2000
Sketch,Secret Identity,Good,1,2000
Squire,Secret Identity,Good,1,2000
Stanley Klein,No Dual Identity,Good,1,2000
Static (Neo),Secret Identity,Bad,1,2000
Sterling (Heroes Reborn),,Good,1,2000
Suyin King,Secret Identity,Good,1,2000
Tariel,Secret Identity,Good,1,2000
Torque (Twisted Sisters),,,1,2000
Tricolore (Yvette),,Good,1,2000
Typhoon (Lost Generation),Secret Identity,Bad,1,2000
Waltham Pierce,,,1,2000
Wibbow,No Dual Identity,Neutral,1,2000
Amy Stringer,Public Identity,Neutral,1,2001
Andrew Benedict,Secret Identity,Neutral,1,2001
Angela Barbato,,Good,1,2001
Ao Jun,,,1,2001
Arthur Swift,,Neutral,1,2001
Bloodwing,Secret Identity,Bad,1,2001
Bonita,Secret Identity,Neutral,1,2001
Browning,,,1,2001
Bruce Greenwood (Earth-1610),Public Identity,Bad,1,2001
Bruno,Public Identity,Bad,1,2001
Chelwid,Public Identity,,1,2001
Cirlio Crisologo,Secret Identity,Good,1,2001
Clive Vickers,Secret Identity,Neutral,1,2001
Cole (Neanderthal),Public Identity,Good,1,2001
Compound,Secret Identity,,1,2001
Corak,Public Identity,Bad,1,2001
Corben,,Bad,1,2001
Cyclops (Tunnel Dwellers),Secret Identity,Good,1,2001
Denham,,,1,2001
Erik Hallgrimsson,Secret Identity,Good,1,2001
Explosa,Secret Identity,Bad,1,2001
Gertrude Hunter,Secret Identity,Neutral,1,2001
Gloria Knoblach,Public Identity,Neutral,1,2001
Gordon Phillips,Public Identity,Neutral,1,2001
Gort (Neanderthal),Public Identity,Bad,1,2001
Gunmetal Gray,Secret Identity,Bad,1,2001
Hans Knoblach,Secret Identity,Neutral,1,2001
Headhunter (Bloodsport),,Bad,1,2001
Jess Patton,No Dual Identity,,1,2001
Jim Washington (Earth-1610),Public Identity,Bad,1,2001
John Jones,Secret Identity,Neutral,1,2001
Kiza,Public Identity,Good,1,2001
LaFronce Bennett,No Dual Identity,Good,1,2001
Lonnie Ranger,,,1,2001
Malevolence,Secret Identity,Bad,1,2001
Marabeth,Secret Identity,Bad,1,2001
Molgotha,,Bad,1,2001
Morcan,Public Identity,Bad,1,2001
One-Eye (Neanderthal),Public Identity,Bad,1,2001
Phemous,Secret Identity,Bad,1,2001
Rogers,Public Identity,Neutral,1,2001
Scree,Secret Identity,Neutral,1,2001
Serestus,Secret Identity,Bad,1,2001
Sergei Rose,Public Identity,Good,1,2001
Skarabrous the Stalker,,,1,2001
Tar-Vash,,Bad,1,2001
Taras Vol,Public Identity,Bad,1,2001
Ted Wertz,,,1,2001
Tyrus Krill,Public Identity,Good,1,2001
Vampyr,Secret Identity,Neutral,1,2001
Vernon Reaves,Secret Identity,Neutral,1,2001
Victor,,Bad,1,2001
Warp Savant,Secret Identity,Bad,1,2001
William (Mutant),,Neutral,1,2001
Adewale Ekoku,Secret Identity,Good,1,2002
Aislinn,,,1,2002
Anders Nobel,Secret Identity,Good,1,2002
Ankhi Gottberg,Secret Identity,Neutral,1,2002
Arlo Summers,Public Identity,Neutral,1,2002
Askalan,,,1,2002
Aunt Hazel,No Dual Identity,,1,2002
Bert (Origin),No Dual Identity,,1,2002
Bloc,,Bad,1,2002
Cedric Crichton,Public Identity,Good,1,2002
Chela,Secret Identity,Bad,1,2002
Cherry (NYPD),Public Identity,Neutral,1,2002
Chuck Self,Public Identity,,1,2002
Cordon,Public Identity,,1,2002
Corporal Animal,Secret Identity,Bad,1,2002
Dan Strom,No Dual Identity,Neutral,1,2002
Dana Holmes,Secret Identity,Good,1,2002
Daniel Wyzcenko,Public Identity,Good,1,2002
Dave Finn,Secret Identity,Good,1,2002
David Montgomery,Public Identity,,1,2002
Doctor Pow,,Neutral,1,2002
Doctor Rogan,Public Identity,,1,2002
Duncan Sebast,Public Identity,,1,2002
Eleanor Sanford,Public Identity,Good,1,2002
Erik Nicieza,Secret Identity,Neutral,1,2002
Fred (Origin),Public Identity,,1,2002
Frida Rivera,Secret Identity,Good,1,2002
Gilbert Lipchitz,,Bad,1,2002
Hank Zlotty,No Dual Identity,Neutral,1,2002
Ian Whippingham,No Dual Identity,Bad,1,2002
Ikeda Honda,Public Identity,Good,1,2002
Jane Smythe,Secret Identity,Bad,1,2002
Jared,Public Identity,,1,2002
Jason Treemont,Public Identity,Neutral,1,2002
Jocasta Frost,Public Identity,Neutral,1,2002
Joel Haines,,,1,2002
Johann,Public Identity,,1,2002
Jorrsk,Public Identity,Good,1,2002
Juliana Jararaca,,Neutral,1,2002
Jymrsk,,Good,1,2002
Kate Cooke,Public Identity,,1,2002
Kenneth Flogg,,Bad,1,2002
Lazarus Ganglion,,Neutral,1,2002
Linga,Public Identity,,1,2002
Lucy Priest,Secret Identity,Good,1,2002
Lyle Crawford,Public Identity,Bad,1,2002
Mahmud Abbouthalima,Public Identity,Bad,1,2002
Malcolm Whitman,,Bad,1,2002
Marvin Krolnek,,Bad,1,2002
Matt Corbin,Public Identity,Neutral,1,2002
Mistur,Public Identity,,1,2002
Moira Gray,Public Identity,Neutral,1,2002
Ms. Fingers,Secret Identity,Bad,1,2002
Mud-Ah,Public Identity,,1,2002
Mutant Cat,,,1,2002
Nanci Koric,Public Identity,,1,2002
Nasya Ehrlich (Earth-11052),Public Identity,Good,1,2002
Nate,Public Identity,,1,2002
Neodymium (Element),Secret Identity,Bad,1,2002
Noboru,Public Identity,Bad,1,2002
Oink,Secret Identity,,1,2002
Omega (Thanosi),,Bad,1,2002
Optoman,Secret Identity,Good,1,2002
Oracle (O-Force),Secret Identity,Good,1,2002
Orchid (O-Force),Secret Identity,Good,1,2002
Orifice,Secret Identity,,1,2002
Ozone,Secret Identity,Good,1,2002
Philip Betbeze,,Neutral,1,2002
Phisherman,Secret Identity,Neutral,1,2002
Platinum (Element),Secret Identity,Bad,1,2002
Poppa,,Bad,1,2002
Renata Da Lima,Public Identity,Good,1,2002
Richard Jones (Impersonator),Public Identity,Neutral,1,2002
Riek Bukenya,Secret Identity,Neutral,1,2002
Ruth Durie,Public Identity,Good,1,2002
Ruthenium (Element),Secret Identity,Bad,1,2002
Sandorr,Public Identity,,1,2002
Scales,Secret Identity,Bad,1,2002
Schism,Secret Identity,Neutral,1,2002
Secco,Secret Identity,Neutral,1,2002
Seiji Honda,No Dual Identity,Good,1,2002
Senso,Public Identity,Neutral,1,2002
Shocker 666,Secret Identity,Bad,1,2002
Sigmund Freud,,Good,1,2002
Slaughter,Secret Identity,Bad,1,2002
Sonny Bean,Public Identity,,1,2002
Spud,Secret Identity,Bad,1,2002
Stan Collins,,Good,1,2002
Taran,Public Identity,Good,1,2002
Tarantula (Runaways),Secret Identity,Bad,1,2002
Ted (Origin),Public Identity,,1,2002
The Shade,,Bad,1,2002
Thiago Piranha,Public Identity,Neutral,1,2002
Third Rail,,Bad,1,2002
Thomas Adkins,,,1,2002
Thomas Williams,Secret Identity,Neutral,1,2002
Timmy Glenn,Secret Identity,Good,1,2002
Tom Metellus,Public Identity,Bad,1,2002
Tony Robb,Public Identity,Good,1,2002
Trois,Secret Identity,Bad,1,2002
Vicki of Humbabu,,Good,1,2002
Victoria Anderson,No Dual Identity,Good,1,2002
X (Thanosi),,Bad,1,2002
Xande,No Dual Identity,Neutral,1,2002
Yorkie Mitchell,,Good,1,2002
Yoshi,Secret Identity,Neutral,1,2002
Aamir,Secret Identity,,1,2003
Agrimet,,,1,2003
Akaje,,,1,2003
Angela (FBI),No Dual Identity,Neutral,1,2003
Atar,,,1,2003
Boss (FBI),No Dual Identity,Neutral,1,2003
Brad Gutman,Public Identity,Bad,1,2003
Clicker,,,1,2003
Cybill,,,1,2003
Dave Cambell,No Dual Identity,Neutral,1,2003
Derek Zheng,Public Identity,Good,1,2003
Doctor Jiroult,,Bad,1,2003
George Tremaine,Public Identity,Neutral,1,2003
Holly (X-Corporation),,Good,1,2003
Jacinda Rodriquez,Secret Identity,Bad,1,2003
Jenny (Dead Girl),Public Identity,Neutral,1,2003
Jeremy (Mutant),Public Identity,Neutral,1,2003
Jinx (NYPD),,,1,2003
Joan Jameson,,Neutral,1,2003
Joey Cascio,Public Identity,Good,1,2003
Jorge Lukas,Secret Identity,Good,1,2003
Josette,Secret Identity,Good,1,2003
Jumbo Carnation,Public Identity,Neutral,1,2003
Kristal van Helden,Secret Identity,Bad,1,2003
Lennox Capriati,Public Identity,Neutral,1,2003
Leona Tremaine,Public Identity,Neutral,1,2003
Litigious Bradley,Public Identity,Good,1,2003
Louis (FBI),No Dual Identity,Neutral,1,2003
Mandy (Mutant),,,1,2003
Marc Dale,,,1,2003
Maria Bonnaventura,Public Identity,Good,1,2003
Marie Batroc,No Dual Identity,Bad,1,2003
Mike Alexander,,,1,2003
Milo Smutts,Public Identity,Neutral,1,2003
Mitchell Abrams,Public Identity,Good,1,2003
Mr. Jones,No Dual Identity,Good,1,2003
Mr. Taylor,Public Identity,Good,1,2003
Mrs. Cambell,No Dual Identity,Neutral,1,2003
Mrs. Taylor,Public Identity,Good,1,2003
Namor McKenzie (N2),Secret Identity,Neutral,1,2003
Natalie Wood,Secret Identity,Good,1,2003
Nigel Blacque,,Bad,1,2003
Noel Penrose,Public Identity,Neutral,1,2003
Paolo Mantega,Public Identity,Neutral,1,2003
Phillip Cambell,No Dual Identity,Neutral,1,2003
Rimi Withnail,Public Identity,Neutral,1,2003
Robert (Mutant),Secret Identity,Good,1,2003
Rodrigo de Smith,Public Identity,Good,1,2003
Roja Sanford,Public Identity,Good,1,2003
Rolanda,Public Identity,Neutral,1,2003
Sanji Yamamoto,Public Identity,Good,1,2003
Sentinel (Juston),Public Identity,Good,1,2003
Spinach,Secret Identity,Bad,1,2003
Stephanie Bradley,Public Identity,Good,1,2003
Tasha (Mutant),Public Identity,,1,2003
Thought (Hand),,Bad,1,2003
Tillie Beezer,Public Identity,Neutral,1,2003
Andy Hartnell,Secret Identity,Good,1,2004
Askid,Secret Identity,Good,1,2004
Bartholomew Grice,No Dual Identity,Good,1,2004
Dervish (The Arena),Secret Identity,,1,2004
Doc (District X),Public Identity,Neutral,1,2004
Fatal Sisters,,Good,1,2004
Figment,,Bad,1,2004
Geech,Secret Identity,Bad,1,2004
Germaine Caruso,Public Identity,Good,1,2004
Hal Tolliver,,,1,2004
Hayyan Zarour,Public Identity,,1,2004
Hilda,,Good,1,2004
Jake Costanza,Public Identity,Neutral,1,2004
Johan Schumann,Secret Identity,Good,1,2004
Kagenobu Yoshioka,,Bad,1,2004
Lamprey (The Arena),,,1,2004
Lariat,Secret Identity,,1,2004
Laurie Caban,,Neutral,1,2004
Louis Dodson,Secret Identity,,1,2004
Makkamakkamaktsptoo,,,1,2004
Manfred Jones,Public Identity,Neutral,1,2004
Maria Murillo,No Dual Identity,,1,2004
Markita,Secret Identity,Good,1,2004
Matthew (District X),Public Identity,Good,1,2004
Mrs. Berdeaux,Public Identity,Neutral,1,2004
Mrs. Costanza,,,1,2004
Mrs. Falcone,Public Identity,Neutral,1,2004
Quills,Secret Identity,,1,2004
Rikuto,Public Identity,Good,1,2004
Rubin,Public Identity,Neutral,1,2004
Sam Palmer,Public Identity,Neutral,1,2004
Serafina Montoya,,,1,2004
Sherman Weisman,Public Identity,Good,1,2004
Silencer (Female),Secret Identity,Bad,1,2004
Skitz,Secret Identity,,1,2004
Stringfellow,Secret Identity,Good,1,2004
Sulumor,No Dual Identity,Good,1,2004
Tommy Reichert,,,1,2004
Valerie Toomes,,,1,2004
Vanessa,Secret Identity,Good,1,2004
Xixa Zenaya,Secret Identity,,1,2004
Xunanguero,,Bad,1,2004
Zygo,No Dual Identity,,1,2004
Adam Essex (Earth-41001),Secret Identity,Neutral,1,2005
Ahmed (Tunnel Rats),Secret Identity,Neutral,1,2005
Aldrich Killian,No Dual Identity,Neutral,1,2005
Ali Kokmen,,Good,1,2005
Alicia Downing,No Dual Identity,Good,1,2005
Alpha Ray,,,1,2005
Angel (Diamond Courier),,,1,2005
Anne Moore,,Good,1,2005
Apocaledon,,,1,2005
Ashei,No Dual Identity,Good,1,2005
Boar,Secret Identity,Bad,1,2005
Butterfly-Bore,,,1,2005
Chad Barrow,,Bad,1,2005
Charles Bohusk,,Good,1,2005
Connor Laughlin,,,1,2005
David Jenkins,,,1,2005
David Knox,Public Identity,,1,2005
Dimitriy Rasputin,,,1,2005
Electrisha,,,1,2005
Emery Arceneaux,,,1,2005
Esther (Angel),Secret Identity,Good,1,2005
Francis Foley,Public Identity,,1,2005
Frank Ludlum,Secret Identity,Neutral,1,2005
Frankie,Public Identity,Bad,1,2005
Gamiel,,Neutral,1,2005
General Wallace,Public Identity,Neutral,1,2005
Giraffe-Man,Secret Identity,Bad,1,2005
Grace (Mutant),,,1,2005
Great Horned Owl-Man,Secret Identity,Bad,1,2005
Greenwich Guardian,,Bad,1,2005
Greg Johnson,Public Identity,,1,2005
Grigory (Rasputin),Secret Identity,Neutral,1,2005
Grigory Grigorievich Rasputin,Secret Identity,Neutral,1,2005
Groza,Secret Identity,Good,1,2005
Hattie Saint-Ange,Public Identity,Neutral,1,2005
Highsmith,,Neutral,1,2005
Hyllus,Secret Identity,Good,1,2005
Jacob Eckhardt,Public Identity,Bad,1,2005
Jacob Pace,Secret Identity,,1,2005
Jaime Vanderwall,,Good,1,2005
James Keller,,,1,2005
Joe Self,Secret Identity,Bad,1,2005
John Crichton,,,1,2005
Joy Bowen,No Dual Identity,,1,2005
Karragan,,Bad,1,2005
Kathy Bohusk,,Good,1,2005
Katie Atkinson,,Good,1,2005
Keitaro Ashida,,,1,2005
Klara Rasputina,,,1,2005
Konstantin Rasputin,,,1,2005
Kuyuk,Secret Identity,Bad,1,2005
Lady Chi,,Bad,1,2005
Liam Bremner,,,1,2005
Linus Sinker,,Good,1,2005
Lisa Beth Harrington,Public Identity,,1,2005
Machine,Public Identity,Bad,1,2005
Mason Kaleema(Earth-616),Public Identity,,1,2005
Mboye,Public Identity,Good,1,2005
Mink,Public Identity,,1,2005
Mirah Qadir,Secret Identity,,1,2005
Momenta,Secret Identity,,1,2005
Mutant Lion,Secret Identity,,1,2005
Nataku Fei,Public Identity,Bad,1,2005
Nigandan General,Public Identity,Neutral,1,2005
Noah Crichton,,Good,1,2005
Oracle of Siwa,Secret Identity,Neutral,1,2005
Patrick Trettel,Secret Identity,Bad,1,2005
Paul Aristides,Public Identity,,1,2005
Philip (Mutant),Public Identity,Good,1,2005
Pig-Man,Secret Identity,Bad,1,2005
Rabbit-Woman,Secret Identity,Bad,1,2005
Rastus,,Bad,1,2005
Rebecca Lauria,Public Identity,Bad,1,2005
Renata Lowell,Public Identity,,1,2005
Sally Sherman,Public Identity,,1,2005
Seiji Ashida,,,1,2005
Suki Ashida,,,1,2005
T-Rex,,,1,2005
Tanaka (Sensei),,Neutral,1,2005
Ted Simmons,Secret Identity,Good,1,2005
Tremolo (Great Game),Secret Identity,Bad,1,2005
Vane,Secret Identity,Good,1,2005
Winston Frankowski,Secret Identity,Good,1,2005
Xeniac,,Bad,1,2005
Yuri (Rasputin),No Dual Identity,Good,1,2005
Zig-Zag,,,1,2005
Adai,No Dual Identity,Neutral,1,2006
Agent Owen,Secret Identity,,1,2006
Agent Whitman,Secret Identity,,1,2006
Ajaxis,,Bad,1,2006
Alex Mitchell,Secret Identity,,1,2006
Andras Tryp,No Dual Identity,Neutral,1,2006
Andrew Gardner,,Good,1,2006
Andrew Mussawyr,,Good,1,2006
Angela Stover,,Good,1,2006
Arthur Hardy,Public Identity,Good,1,2006
Asclepius,,Good,1,2006
Barry Kanczeski,,Good,1,2006
Bernard Van Buren,Secret Identity,,1,2006
Bertram K.,No Dual Identity,Neutral,1,2006
Beru Addison,Secret Identity,Good,1,2006
Bill Merrick,Secret Identity,,1,2006
Brian Grey,,,1,2006
Broccoli Men,,Bad,1,2006
Brushfire,,Bad,1,2006
Cecily Johnson,Secret Identity,Good,1,2006
Charles Luc Phan,Secret Identity,Good,1,2006
Charles Yameogo,,Good,1,2006
Charlie America,,Bad,1,2006
Chipper (Hurricane),No Dual Identity,Good,1,2006
Colin Hardy,Public Identity,,1,2006
Constance,,Good,1,2006
Crimson Dynamo X,Secret Identity,Bad,1,2006
Danny Shepard,,,1,2006
David Garrett,Public Identity,Bad,1,2006
Dennis Hoxie,,,1,2006
Derry Campbell,,,1,2006
Dezmond Harris,Public Identity,Good,1,2006
Doctor Leery,Secret Identity,Bad,1,2006
Donna Altieri,,Good,1,2006
Dorothy Cardoza,Secret Identity,Good,1,2006
Edward Randlebuck,Secret Identity,Good,1,2006
Eggbreaker,,,1,2006
Elaine (FOOM),Public Identity,Neutral,1,2006
Farissa,,Good,1,2006
Ferris Hartke,Secret Identity,Good,1,2006
Gary Peterson,Secret Identity,Good,1,2006
Gilbert Wiles,Public Identity,Good,1,2006
Golden Gator,Secret Identity,Neutral,1,2006
Great Weaver,No Dual Identity,Neutral,1,2006
Greg Norris,No Dual Identity,Bad,1,2006
Grindhouse,Secret Identity,Bad,1,2006
Harriet Best,,Good,1,2006
Heart-Like-Fire,Secret Identity,Neutral,1,2006
Henry Buchanan,Public Identity,Good,1,2006
Herrick Goldman,,,1,2006
Igor Drenkov (Earth-61018),,,1,2006
Ishiguro,,Good,1,2006
J. M. Barrie,Public Identity,,1,2006
James Louis Prindle,Public Identity,Good,1,2006
Jared Nelson,,Good,1,2006
Jeannie Martin,Public Identity,,1,2006
Jennifer Hardy,,Good,1,2006
Joe Atlantis,Secret Identity,Good,1,2006
Joey V.,Public Identity,,1,2006
John Kesler,,Bad,1,2006
John Steele (Sentinel Squad O*N*E),,,1,2006
Jonadab Megyscol,,Good,1,2006
Julia Grey,,,1,2006
Julian Grey,,,1,2006
Kevin E.,Public Identity,Neutral,1,2006
Kindra Grey,,,1,2006
King Simian,Secret Identity,Bad,1,2006
Krosakis,Public Identity,Bad,1,2006
Langley Saint-Margaret,,,1,2006
Lar-Ka,Public Identity,Neutral,1,2006
Larry King,Public Identity,,1,2006
Leon Frankfurt,Secret Identity,Good,1,2006
Liam Grey,,,1,2006
Lisa Hardy,Public Identity,Good,1,2006
Little Cloud,Public Identity,Good,1,2006
Mad Juggler,Secret Identity,Bad,1,2006
Maguire,Secret Identity,Good,1,2006
Malcolm Hardy,Public Identity,Good,1,2006
Malcolm Modern,Public Identity,Good,1,2006
Mandy Atkinson,Secret Identity,Good,1,2006
Marcus Estrada de la Garc\u00eda,Secret Identity,Good,1,2006
Maria Atlantis,Secret Identity,Good,1,2006
Mark Hawkins,,,1,2006
Mark Runnemeyer,,Good,1,2006
Mary-Margaret Grey,,,1,2006
Michael (FOOM),Public Identity,Neutral,1,2006
Mosquito Man,Secret Identity,,1,2006
Mr. Miller,Secret Identity,Good,1,2006
Mrs. Miller,Secret Identity,Good,1,2006
Ms. Ferguson,Secret Identity,Neutral,1,2006
Natalie Bell,Secret Identity,Good,1,2006
Ned Hardy,Public Identity,Good,1,2006
Ned Ralston,No Dual Identity,Good,1,2006
Neil Shelton,Secret Identity,Good,1,2006
Nell Hardy,Public Identity,Good,1,2006
Nelson Cragg,Public Identity,Neutral,1,2006
Norman Gentry,Secret Identity,,1,2006
Olivia Hook,Secret Identity,,1,2006
Oprah Winfrey,Public Identity,,1,2006
Orlando,,,1,2006
Orville Bock,,Bad,1,2006
Pasco,,Bad,1,2006
Paul Vance,Secret Identity,Bad,1,2006
Phyllis Dennefer,,Good,1,2006
Phyty,Public Identity,,1,2006
Politus,Secret Identity,Neutral,1,2006
Positron (Annie),Secret Identity,Good,1,2006
Rana Mousabi,Secret Identity,Good,1,2006
Richard Taine,Secret Identity,,1,2006
Robert Dolan,Public Identity,Good,1,2006
Roger Grey,,,1,2006
Ronnie (Mutant),,Bad,1,2006
Roy Dennefer,,Good,1,2006
Russell Feldman,Secret Identity,,1,2006
Samaya,,Good,1,2006
Sarah Purser,Secret Identity,Good,1,2006
Sean Beckett,Secret Identity,Good,1,2006
Senator Dickerson,Public Identity,Good,1,2006
Sergeant Davis,No Dual Identity,Good,1,2006
Sonya van Jagt,,Good,1,2006
Spa-fon and Squa-tront,,Good,1,2006
Steve Cochrane,Secret Identity,Good,1,2006
Tarq Maru,Public Identity,Good,1,2006
Theodore Pendleton,,Good,1,2006
Tin (Horse),Public Identity,Good,1,2006
Tiv,Public Identity,Good,1,2006
Tom Boldstep,,,1,2006
Tony Romeo,Public Identity,,1,2006
Trucker,,,1,2006
Unarmed Training Automaton 110,,,1,2006
Veil (Corporation),Secret Identity,Bad,1,2006
Videoman,,,1,2006
Vincent Pettine,Public Identity,Neutral,1,2006
ZeeBee,,,1,2006
Abbas al-Abbad,,Bad,1,2007
Adamantine,Secret Identity,Good,1,2007
Akira Kiamata,Secret Identity,Bad,1,2007
Alan Spaulding,Public Identity,Bad,1,2007
Alistair,,Neutral,1,2007
Andr\u00e9,No Dual Identity,,1,2007
Antiphon,,,1,2007
Beefcake (LMD),Secret Identity,Good,1,2007
Bei-Ming Tian,,Good,1,2007
Bill Price,Secret Identity,Good,1,2007
Bird-Man,Secret Identity,Bad,1,2007
Blondie (Lupine),,,1,2007
Bubba,Public Identity,,1,2007
Buzz Cooper,Public Identity,Neutral,1,2007
Calvin Goynes,Public Identity,Neutral,1,2007
Conrad,,Bad,1,2007
Deko,Public Identity,Bad,1,2007
Delphi (Morlock),Secret Identity,Neutral,1,2007
Detective Fant\u00f4me,Secret Identity,Good,1,2007
Detective Fontana,Public Identity,,1,2007
Detective Simon,Public Identity,,1,2007
Devil Dinosaur (Clone),Secret Identity,Bad,1,2007
Dex (Omaha),,,1,2007
Diableri,,,1,2007
Dimitri Kantov,Secret Identity,Bad,1,2007
Dimitri Smirkov,Secret Identity,Bad,1,2007
Docteur Q,Secret Identity,Good,1,2007
Doctor Locke,Secret Identity,Bad,1,2007
Dzyan,,,1,2007
El Chupacabra,Secret Identity,Neutral,1,2007
Elsbeth Kleinenshvitz,Public Identity,Good,1,2007
Father Spider,,Good,1,2007
Foot of Doom,Secret Identity,Bad,1,2007
Ghiough,,,1,2007
Govan,Secret Identity,Good,1,2007
Grasshopper (Unnamed),Secret Identity,Good,1,2007
Greg Forest,Public Identity,,1,2007
Hademar Zemo,Public Identity,Bad,1,2007
Harley Cooper,Secret Identity,Good,1,2007
Heller Zemo,Public Identity,Neutral,1,2007
Helmuth Zemo,Public Identity,Bad,1,2007
Herbert Zemo,Public Identity,Bad,1,2007
Hilliard Zemo,Public Identity,Neutral,1,2007
Hobart Zemo,Public Identity,Neutral,1,2007
Horst Brandauer,Secret Identity,Bad,1,2007
Hurricane (Civil War),Secret Identity,,1,2007
Infinity T.A.P.,Secret Identity,Bad,1,2007
Insecticide,Secret Identity,Bad,1,2007
J. Patrick Smitty,,,1,2007
Janet Grant,,Good,1,2007
Karen Trudeaux,Secret Identity,Bad,1,2007
Kwai Jun-Fau,,Good,1,2007
